1	5
1	6
1	10
1	14
1	15
1	20
1	24
1	25
1	31
1	33
1	39
1	44
1	48
1	52
1	57
1	66
1	89
1	90
2	5
2	6
2	7
2	9
2	11
2	14
2	33
2	53
2	59
2	63
2	67
2	72
2	76
3	5
3	7
3	15
3	18
3	21
3	22
3	34
3	37
3	38
3	40
3	60
3	62
3	72
3	75
3	83
3	97
4	5
4	6
4	8
4	11
4	12
4	17
4	20
4	27
4	28
4	36
4	92
5	6
5	7
5	8
5	11
5	12
5	13
5	16
5	20
5	21
5	35
5	38
5	39
5	51
5	64
5	73
5	83
6	7
6	8
6	9
6	10
6	12
6	13
6	14
6	18
6	21
6	22
6	23
6	29
6	49
6	58
6	61
6	70
6	75
6	77
6	86
6	90
6	91
6	94
6	95
6	99
7	8
7	9
7	10
7	11
7	12
7	18
7	22
7	23
7	28
7	29
7	32
7	36
7	40
7	43
7	46
7	52
7	56
7	60
7	63
7	88
7	96
8	9
8	10
8	16
8	17
8	26
8	27
8	29
8	31
8	32
8	33
8	34
8	44
8	61
8	62
8	64
8	65
8	67
8	73
8	79
8	81
8	92
8	99
9	15
9	17
9	18
9	20
9	24
9	32
9	34
9	35
9	42
9	45
9	46
9	47
9	64
9	66
9	79
9	85
9	87
9	92
9	93
9	100
10	13
10	14
10	17
10	19
10	25
10	27
10	35
10	44
10	46
10	47
10	50
10	57
10	99
11	19
11	24
11	62
11	67
11	77
11	89
11	90
12	13
12	15
12	16
12	26
12	28
12	33
12	36
12	37
12	41
12	45
12	50
12	63
12	65
12	78
12	79
12	84
13	19
13	42
13	51
13	97
14	16
14	22
14	27
14	39
14	43
14	55
14	59
14	64
14	71
14	76
14	82
15	19
15	25
15	35
15	40
15	42
15	48
15	49
15	52
15	53
15	55
15	70
15	71
15	75
15	77
15	78
15	84
15	93
16	21
16	24
16	30
16	34
16	41
16	45
16	47
16	52
16	53
16	56
16	60
16	66
16	78
16	84
16	86
16	87
16	90
17	25
17	29
17	44
17	54
17	72
17	91
17	94
17	100
18	23
18	28
18	37
18	38
18	58
18	82
18	87
19	62
19	74
19	89
19	98
20	43
20	48
20	98
21	26
21	41
21	43
21	54
21	73
21	85
22	23
22	26
22	30
22	39
22	40
22	42
22	53
22	76
22	78
22	88
22	91
22	97
23	30
23	65
23	75
24	37
25	32
25	45
25	48
25	59
26	30
26	31
26	83
27	68
28	47
28	74
28	92
29	46
30	31
30	36
30	38
30	49
30	69
30	80
30	95
31	51
33	55
33	77
33	83
33	98
34	49
34	56
34	58
34	68
34	70
34	74
34	95
35	79
36	94
37	41
39	60
39	95
40	57
40	71
40	76
40	82
40	88
40	99
41	68
42	50
42	51
42	57
42	61
42	63
42	68
42	69
42	72
42	80
42	81
44	81
44	91
46	58
46	69
46	81
47	54
47	70
48	50
48	97
50	56
50	59
50	74
50	80
50	84
51	55
51	85
51	93
51	98
52	85
52	100
53	54
53	73
53	86
54	65
55	93
56	88
58	61
58	94
59	82
63	67
63	71
64	96
65	66
67	69
70	86
73	89
74	87
76	80
76	96
86	96
99	100
